"code","event_type_code","description"
"defensive_foul","foul","Falta Defensiva"
"offensive_foul","foul","Falta Ofensiva"
"shot_6m","shot","Arremesso 6m"
"shot_9m","shot","Arremesso 9m"
"shot_counterattack","shot","Arremesso em Contra-Ataque"
"shot_pivot","shot","Arremesso de Pivô"
"shot_left_wing","shot","Arremesso de Ponta Esquerda"
"shot_right_wing","shot","Arremesso de Ponta Direita"
"shot_left_back","shot","Arremesso de Lateral Esquerda"
"shot_right_back","shot","Arremesso de Lateral Direita"
"shot_center_back","shot","Arremesso de Central"
"shot_jumping","shot","Arremesso em suspensão"
"shot_grounded","shot","Arremesso em Apoio"
"turnover_dribble","turnover","Perda de Bola - Dois Dribles"
"turnover_offensive_foul","turnover","Perda de Bola - Falta de Ataque"
"turnover_pass","turnover","Perda de Bola - Passe Errado"
"turnover_steps","turnover","Perda de Bola - Passos"
"turnover_invasion","turnover","Perda de Bola - Invasão de Área"
"turnover_timeout","turnover","Perda de Bola - Mais de 3 seg"
"substitution_wrong","exclusion_2min","Erro de troca - 2 minutos"
"three_exlusions_2min","red_card","Três exlusões por 2 min"
