"id","code","description","created_at","updated_at"
"1","persons.create","Criar pessoas no sistema","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"2","persons.read","Visualizar pessoas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"3","persons.update","Atualizar dados de pessoas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"4","persons.delete","Soft delete de pessoas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"5","athletes.create","Cadastrar atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"6","athletes.read","Visualizar atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"7","athletes.update","Atualizar dados de atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"8","athletes.delete","Soft delete de atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"9","athletes.state_change","Mudar estado de atleta (ativa/dispensada/arquivada)","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"10","teams.create","Criar equipes","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"11","teams.read","Visualizar equipes","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"12","teams.update","Atualizar equipes","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"13","teams.delete","Soft delete de equipes","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"14","organizations.create","Criar organizações (clubes)","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"15","organizations.read","Visualizar organizações","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"16","organizations.update","Atualizar organizações","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"17","organizations.delete","Soft delete de organizações","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"18","seasons.create","Criar temporadas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"19","seasons.read","Visualizar temporadas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"20","seasons.update","Atualizar temporadas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"21","seasons.delete","Soft delete de temporadas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"22","seasons.cancel","Cancelar temporada (pré-início)","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"23","seasons.interrupt","Interromper temporada (força maior)","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"24","training_sessions.create","Criar treinos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"25","training_sessions.read","Visualizar treinos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"26","training_sessions.update","Atualizar treinos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"27","training_sessions.delete","Soft delete de treinos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"28","attendance.create","Registrar presença","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"29","attendance.read","Visualizar presença","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"30","attendance.update","Atualizar presença","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"31","attendance.delete","Soft delete de presença","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"32","wellness.read","Visualizar wellness de atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"33","wellness.read_own","Atleta visualizar próprio wellness","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"34","wellness.create_pre","Registrar wellness pré-treino","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"35","wellness.create_post","Registrar wellness pós-treino","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"36","matches.create","Criar jogos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"37","matches.read","Visualizar jogos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"38","matches.update","Atualizar jogos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"39","matches.delete","Soft delete de jogos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"40","matches.reopen","Reabrir jogo finalizado","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"41","match_events.create","Registrar eventos de jogo","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"42","match_events.read","Visualizar eventos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"43","match_events.update","Atualizar eventos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"44","match_roster.create","Criar súmula/convocação","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"45","match_roster.read","Visualizar súmula","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"46","match_roster.update","Atualizar súmula","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"47","users.create","Criar usuários","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"48","users.read","Visualizar usuários","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"49","users.update","Atualizar usuários","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
