# TRD Training Permissions Report
Generated: 2026-02-07T16:57:06.057230+00:00Z

Nota: permission_dep é role-based; chaves de permissão só aparecem quando há ctx.requires/ctx.can explícito.

| operationId | method | path | roles_required | require_org | require_team | require_team_registration | permission_keys | evidence_router | evidence_permissions_map |
|---|---|---|---|---|---|---|---|---|---|
| get_deviation_analysis_api_v1_analytics_team__team_id__deviation_analysis_get | GET | /api/v1/analytics/team/{team_id}/deviation-analysis | dirigente, coordenador, treinador | True | False | False | — | Hb Track - Backend\app\api\v1\routers\training_analytics.py:119 | — |
| get_prevention_effectiveness_api_v1_analytics_team__team_id__prevention_effectiveness_get | GET | /api/v1/analytics/team/{team_id}/prevention-effectiveness | dirigente, coordenador, treinador | True | False | False | — | Hb Track - Backend\app\api\v1\routers\training_analytics.py:161 | — |
| get_team_summary_api_v1_analytics_team__team_id__summary_get | GET | /api/v1/analytics/team/{team_id}/summary | dirigente, coordenador, treinador | True | False | False | — | Hb Track - Backend\app\api\v1\routers\training_analytics.py:40 | — |
| get_weekly_load_api_v1_analytics_team__team_id__weekly_load_get | GET | /api/v1/analytics/team/{team_id}/weekly-load | dirigente, coordenador, treinador | True | False | False | — | Hb Track - Backend\app\api\v1\routers\training_analytics.py:81 | — |
| get_wellness_rankings_api_v1_analytics_wellness_rankings_get | GET | /api/v1/analytics/wellness-rankings | dirigente, coordenador, treinador | True | False | False | — | Hb Track - Backend\app\api\v1\routers\analytics.py:24 | — |
| calculate_rankings_manually_api_v1_analytics_wellness_rankings_calculate_post | POST | /api/v1/analytics/wellness-rankings/calculate | dirigente | True | False | False | — | Hb Track - Backend\app\api\v1\routers\analytics.py:130 | — |
| get_team_athletes_90plus_api_v1_analytics_wellness_rankings__team_id__athletes_90plus_get | GET | /api/v1/analytics/wellness-rankings/{team_id}/athletes-90plus | dirigente, coordenador, treinador | True | False | False | — | Hb Track - Backend\app\api\v1\routers\analytics.py:84 | — |
| update_attendance_api_v1_attendance__attendance_id__patch | PATCH | /api/v1/attendance/{attendance_id} | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\attendance_scoped.py:147 | — |
| correct_attendance_administrative_api_v1_attendance__attendance_id__correct_post | POST | /api/v1/attendance/{attendance_id}/correct | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\attendance.py:367 | — |
| favorite_exercise_api_v1_exercise_favorites_post | POST | /api/v1/exercise-favorites | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\exercises.py:293 | — |
| list_my_favorites_api_v1_exercise_favorites_get | GET | /api/v1/exercise-favorites | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\exercises.py:345 | — |
| unfavorite_exercise_api_v1_exercise_favorites__exercise_id__delete | DELETE | /api/v1/exercise-favorites/{exercise_id} | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\exercises.py:321 | — |
| list_tags_api_v1_exercise_tags_get | GET | /api/v1/exercise-tags | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\exercises.py:39 | — |
| create_tag_api_v1_exercise_tags_post | POST | /api/v1/exercise-tags | dirigente, coordenador | False | False | False | — | Hb Track - Backend\app\api\v1\routers\exercises.py:68 | — |
| update_tag_api_v1_exercise_tags__tag_id__patch | PATCH | /api/v1/exercise-tags/{tag_id} | dirigente, coordenador | False | False | False | — | Hb Track - Backend\app\api\v1\routers\exercises.py:99 | — |
| list_exercises_api_v1_exercises_get | GET | /api/v1/exercises | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\exercises.py:131 | — |
| create_exercise_api_v1_exercises_post | POST | /api/v1/exercises | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\exercises.py:219 | — |
| get_exercise_api_v1_exercises__exercise_id__get | GET | /api/v1/exercises/{exercise_id} | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\exercises.py:175 | — |
| update_exercise_api_v1_exercises__exercise_id__patch | PATCH | /api/v1/exercises/{exercise_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\exercises.py:254 | — |
| list_session_templates_api_v1_session_templates_get | GET | /api/v1/session-templates | dirigente, coordenador, treinador, preparador_fisico | False | False | False | can_view_training | Hb Track - Backend\app\api\v1\routers\session_templates.py:44 | can_view_training@50 |
| create_session_template_api_v1_session_templates_post | POST | /api/v1/session-templates | dirigente, coordenador, treinador, preparador_fisico | False | False | False | can_create_training | Hb Track - Backend\app\api\v1\routers\session_templates.py:88 | can_create_training@47 |
| get_session_template_api_v1_session_templates__template_id__get | GET | /api/v1/session-templates/{template_id} | dirigente, coordenador, treinador, preparador_fisico | False | False | False | can_view_training | Hb Track - Backend\app\api\v1\routers\session_templates.py:174 | can_view_training@50 |
| update_session_template_api_v1_session_templates__template_id__patch | PATCH | /api/v1/session-templates/{template_id} | dirigente, coordenador, treinador, preparador_fisico | False | False | False | can_edit_training | Hb Track - Backend\app\api\v1\routers\session_templates.py:212 | can_edit_training@48 |
| delete_session_template_api_v1_session_templates__template_id__delete | DELETE | /api/v1/session-templates/{template_id} | dirigente, coordenador, treinador, preparador_fisico | False | False | False | can_delete_training | Hb Track - Backend\app\api\v1\routers\session_templates.py:365 | can_delete_training@49 |
| toggle_favorite_template_api_v1_session_templates__template_id__favorite_patch | PATCH | /api/v1/session-templates/{template_id}/favorite | dirigente, coordenador, treinador, preparador_fisico | False | False | False | can_edit_training | Hb Track - Backend\app\api\v1\routers\session_templates.py:318 | can_edit_training@48 |
| list_training_cycles_api_v1_training_cycles_get | GET | /api/v1/training-cycles | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_cycles.py:59 | — |
| create_training_cycle_api_v1_training_cycles_post | POST | /api/v1/training-cycles | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_cycles.py:143 | — |
| get_active_cycles_api_v1_training_cycles_teams__team_id__active_get | GET | /api/v1/training-cycles/teams/{team_id}/active | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_cycles.py:292 | — |
| get_training_cycle_api_v1_training_cycles__cycle_id__get | GET | /api/v1/training-cycles/{cycle_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_cycles.py:104 | — |
| update_training_cycle_api_v1_training_cycles__cycle_id__patch | PATCH | /api/v1/training-cycles/{cycle_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_cycles.py:201 | — |
| delete_training_cycle_api_v1_training_cycles__cycle_id__delete | DELETE | /api/v1/training-cycles/{cycle_id} | coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_cycles.py:247 | — |
| list_training_microcycles_api_v1_training_microcycles_get | GET | /api/v1/training-microcycles | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:61 | — |
| create_training_microcycle_api_v1_training_microcycles_post | POST | /api/v1/training-microcycles | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:228 | — |
| get_current_microcycle_api_v1_training_microcycles_teams__team_id__current_get | GET | /api/v1/training-microcycles/teams/{team_id}/current | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:131 | — |
| get_training_microcycle_api_v1_training_microcycles__microcycle_id__get | GET | /api/v1/training-microcycles/{microcycle_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:189 | — |
| update_training_microcycle_api_v1_training_microcycles__microcycle_id__patch | PATCH | /api/v1/training-microcycles/{microcycle_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:286 | — |
| delete_training_microcycle_api_v1_training_microcycles__microcycle_id__delete | DELETE | /api/v1/training-microcycles/{microcycle_id} | coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:329 | — |
| get_microcycle_summary_api_v1_training_microcycles__microcycle_id__summary_get | GET | /api/v1/training-microcycles/{microcycle_id}/summary | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_microcycles.py:374 | — |
| list_training_sessions_api_v1_training_sessions_get | GET | /api/v1/training-sessions | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:145 | — |
| create_training_session_api_v1_training_sessions_post | POST | /api/v1/training-sessions | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:199 | — |
| copy_week_sessions_api_v1_training_sessions_copy_week_post | POST | /api/v1/training-sessions/copy-week | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:1068 | — |
| update_session_exercise_api_v1_training_sessions_exercises__session_exercise_id__patch | PATCH | /api/v1/training-sessions/exercises/{session_exercise_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\session_exercises.py:158 | — |
| remove_exercise_from_session_api_v1_training_sessions_exercises__session_exercise_id__delete | DELETE | /api/v1/training-sessions/exercises/{session_exercise_id} | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\session_exercises.py:234 | — |
| add_exercise_to_session_api_v1_training_sessions__session_id__exercises_post | POST | /api/v1/training-sessions/{session_id}/exercises | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\session_exercises.py:42 | — |
| get_session_exercises_api_v1_training_sessions__session_id__exercises_get | GET | /api/v1/training-sessions/{session_id}/exercises | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\session_exercises.py:121 | — |
| bulk_add_exercises_to_session_api_v1_training_sessions__session_id__exercises_bulk_post | POST | /api/v1/training-sessions/{session_id}/exercises/bulk | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\session_exercises.py:83 | — |
| reorder_session_exercises_api_v1_training_sessions__session_id__exercises_reorder_patch | PATCH | /api/v1/training-sessions/{session_id}/exercises/reorder | treinador, coordenador, dirigente | False | False | False | — | Hb Track - Backend\app\api\v1\routers\session_exercises.py:196 | — |
| get_training_session_by_id_api_v1_training_sessions__training_session_id__get | GET | /api/v1/training-sessions/{training_session_id} | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:236 | — |
| update_training_session_api_v1_training_sessions__training_session_id__patch | PATCH | /api/v1/training-sessions/{training_session_id} | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:263 | — |
| delete_training_session_api_v1_training_sessions__training_session_id__delete | DELETE | /api/v1/training-sessions/{training_session_id} | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:300 | — |
| close_training_session_api_v1_training_sessions__training_session_id__close_post | POST | /api/v1/training-sessions/{training_session_id}/close | dirigente, coordenador, treinador | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:646 | — |
| get_session_deviation_api_v1_training_sessions__training_session_id__deviation_get | GET | /api/v1/training-sessions/{training_session_id}/deviation | coach, admin | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:709 | — |
| duplicate_training_session_api_v1_training_sessions__training_session_id__duplicate_post | POST | /api/v1/training-sessions/{training_session_id}/duplicate | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:772 | — |
| publish_training_session_api_v1_training_sessions__training_session_id__publish_post | POST | /api/v1/training-sessions/{training_session_id}/publish | dirigente, coordenador, treinador | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:580 | — |
| restore_training_session_api_v1_training_sessions__training_session_id__restore_post | POST | /api/v1/training-sessions/{training_session_id}/restore | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:334 | — |
| get_wellness_status_api_v1_training_sessions__training_session_id__wellness_status_get | GET | /api/v1/training-sessions/{training_session_id}/wellness-status | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_sessions.py:873 | — |
| get_active_alerts_api_v1_training_alerts_suggestions_alerts_team__team_id__active_get | GET | /api/v1/training/alerts-suggestions/alerts/team/{team_id}/active | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:46 | — |
| get_alert_history_api_v1_training_alerts_suggestions_alerts_team__team_id__history_get | GET | /api/v1/training/alerts-suggestions/alerts/team/{team_id}/history | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:64 | — |
| get_alert_stats_api_v1_training_alerts_suggestions_alerts_team__team_id__stats_get | GET | /api/v1/training/alerts-suggestions/alerts/team/{team_id}/stats | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:130 | — |
| dismiss_alert_api_v1_training_alerts_suggestions_alerts__alert_id__dismiss_post | POST | /api/v1/training/alerts-suggestions/alerts/{alert_id}/dismiss | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:169 | — |
| get_suggestion_history_api_v1_training_alerts_suggestions_suggestions_team__team_id__history_get | GET | /api/v1/training/alerts-suggestions/suggestions/team/{team_id}/history | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:215 | — |
| get_pending_suggestions_api_v1_training_alerts_suggestions_suggestions_team__team_id__pending_get | GET | /api/v1/training/alerts-suggestions/suggestions/team/{team_id}/pending | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:197 | — |
| get_suggestion_stats_api_v1_training_alerts_suggestions_suggestions_team__team_id__stats_get | GET | /api/v1/training/alerts-suggestions/suggestions/team/{team_id}/stats | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:272 | — |
| apply_suggestion_api_v1_training_alerts_suggestions_suggestions__suggestion_id__apply_post | POST | /api/v1/training/alerts-suggestions/suggestions/{suggestion_id}/apply | coach, admin | False | False | False | — | Hb Track - Backend\app\api\v1\routers\training_suggestions.py:65 | — |
| dismiss_suggestion_api_v1_training_alerts_suggestions_suggestions__suggestion_id__dismiss_post | POST | /api/v1/training/alerts-suggestions/suggestions/{suggestion_id}/dismiss | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\training_alerts_step18.py:345 | — |
| list_attendance_by_session_api_v1_training_sessions__training_session_id__attendance_get | GET | /api/v1/training_sessions/{training_session_id}/attendance | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\attendance_scoped.py:113 | — |
| add_attendance_to_session_api_v1_training_sessions__training_session_id__attendance_post | POST | /api/v1/training_sessions/{training_session_id}/attendance | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\attendance_scoped.py:130 | — |
| add_attendance_batch_api_v1_training_sessions__training_session_id__attendance_batch_post | POST | /api/v1/training_sessions/{training_session_id}/attendance/batch | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\attendance.py:126 | — |
| get_session_attendance_statistics_api_v1_training_sessions__training_session_id__attendance_statistics_get | GET | /api/v1/training_sessions/{training_session_id}/attendance/statistics | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\attendance.py:320 | — |
| list_wellness_post_by_session_api_v1_wellness_post_training_sessions__training_session_id__wellness_post_get | GET | /api/v1/wellness-post/training_sessions/{training_session_id}/wellness_post | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\wellness_post.py:54 | — |
| add_wellness_post_to_session_api_v1_wellness_post_training_sessions__training_session_id__wellness_post_post | POST | /api/v1/wellness-post/training_sessions/{training_session_id}/wellness_post | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\wellness_post.py:158 | — |
| get_wellness_post_status_api_v1_wellness_post_training_sessions__training_session_id__wellness_post_status_get | GET | /api/v1/wellness-post/training_sessions/{training_session_id}/wellness_post/status | — | — | — | — | — | Hb Track - Backend\app\api\v1\routers\wellness_post.py:113 | — |
